OBJECTID,SA_GUID_2016,SA_GUID_2022,SA_PUB2011,SA_PUB2016,SA_PUB2022,SA_GEOGID_2022,SA_CHANGE_CODE,SA_URBAN_AREA_FLAG,SA_URBAN_AREA_NAME,SA_NUTS1,SA_NUTS1_NAME,SA_NUTS2,SA_NUTS2_NAME,SA_NUTS3,SA_NUTS3_NAME,ED_GUID,ED_OFFICIAL,ED_ENGLISH,ED_GAEILGE,ED_ID_STR,ED_PART_COUNT,COUNTY_CODE,COUNTY_ENGLISH,COUNTY_GAEILGE,CSO_LEA,Shape__Area,Shape__Length
15996,4c07d11e-0e09-851d-e053-ca3ca8c0ca7f,4c07d11e-0e09-851d-e053-ca3ca8c0ca7f,067192007/067192009,067192007/067192009,067192007/067192009,A067192007/A067192009,0,0,,IE0,Ireland,IE04,Northern and Western,IE042,West,2ae19629-22fa-13a3-e055-000000000001,Y,RINVYLE,RINN MHAOILE,067192,24,27,GALWAY,Gaillimh,CONAMARA NORTH,4915680.74404907,18292.7346039121
15997,4c07d11e-0e0a-851d-e053-ca3ca8c0ca7f,4c07d11e-0e0a-851d-e053-ca3ca8c0ca7f,067192005,067192005,067192005,A067192005,0,0,,IE0,Ireland,IE04,Northern and Western,IE042,West,2ae19629-22fa-13a3-e055-000000000001,Y,RINVYLE,RINN MHAOILE,067192,24,27,GALWAY,Gaillimh,CONAMARA NORTH,8324087.02053833,16239.477608102
15998,4c07d11e-0f86-851d-e053-ca3ca8c0ca7f,4c07d11e-0f86-851d-e053-ca3ca8c0ca7f,067082002,067082002,067082002,A067082002,0,0,,IE0,Ireland,IE04,Northern and Western,IE042,West,2ae19629-2304-13a3-e055-000000000001,Y,DERRYGLASSAUN,DOIRE AN GHLASÁIN,067082,1,27,GALWAY,Gaillimh,BALLINASLOE,4050518.0947876,8473.72388152568
15999,4c07d11e-0f87-851d-e053-ca3ca8c0ca7f,4c07d11e-0f87-851d-e053-ca3ca8c0ca7f,067178002,067178002,067178002,A067178002,0,0,,IE0,Ireland,IE04,Northern and Western,IE042,West,2ae19629-22d0-13a3-e055-000000000001,Y,MOUNTHAZEL,MOUNTHAZEL,067178,1,27,GALWAY,Gaillimh,BALLINASLOE,9539286.61380005,15786.1091568181
16000,4c07d11e-0f88-851d-e053-ca3ca8c0ca7f,4c07d11e-0f88-851d-e053-ca3ca8c0ca7f,067070002,067070002,067070002,A067070002,0,0,,IE0,Ireland,IE04,Northern and Western,IE042,West,2ae19629-22e5-13a3-e055-000000000001,Y,COOLOO,CÚIL LÚ,067070,1,27,GALWAY,Gaillimh,BALLINASLOE,12061687.5988464,21231.8333645408
16001,4c07d11e-0f8a-851d-e053-ca3ca8c0ca7f,4c07d11e-0f8a-851d-e053-ca3ca8c0ca7f,067051001,067051001,067051001,A067051001,0,0,,IE0,Ireland,IE04,Northern and Western,IE042,West,2ae19629-20d7-13a3-e055-000000000001,Y,CASTLEBLAKENEY,GALLACH,067051,1,27,GALWAY,Gaillimh,BALLINASLOE,10396524.4633179,19604.1546653809
16002,4c07d11e-0f8b-851d-e053-ca3ca8c0ca7f,4c07d11e-0f8b-851d-e053-ca3ca8c0ca7f,067043001,067043001,067043001,A067043001,0,0,,IE0,Ireland,IE04,Northern and Western,IE042,West,2ae19629-20bd-13a3-e055-000000000001,Y,CALTRA,AN CHEALTRACH,067043,1,27,GALWAY,Gaillimh,BALLINASLOE,7597998.9041748,18817.4742181895
16003,4c07d11e-0f8d-851d-e053-ca3ca8c0ca7f,4c07d11e-0f8d-851d-e053-ca3ca8c0ca7f,067043002,067043002,067043002,A067043002,0,0,,IE0,Ireland,IE04,Northern and Western,IE042,West,2ae19629-20bd-13a3-e055-000000000001,Y,CALTRA,AN CHEALTRACH,067043,1,27,GALWAY,Gaillimh,BALLINASLOE,7551754.00296021,16759.7206779148
16004,4c07d11d-fdd4-851d-e053-ca3ca8c0ca7f,4c07d11d-fdd4-851d-e053-ca3ca8c0ca7f,127056001,127056001,127056001,A127056001,0,0,,IE0,Ireland,IE05,Southern,IE051,Mid-West,2ae19629-177a-13a3-e055-000000000001,Y,DANGANBEG,AN DAINGEAN BEAG,127056,1,21,LIMERICK,Luimneach,NEWCASTLE WEST,7435174.11782837,14207.1663174465
16005,4c07d11d-fdd6-851d-e053-ca3ca8c0ca7f,4c07d11d-fdd6-851d-e053-ca3ca8c0ca7f,127095002,127095002,127095002,A127095002,0,0,,IE0,Ireland,IE05,Southern,IE051,Mid-West,2ae19629-17a4-13a3-e055-000000000001,Y,KILMEEDY,CILL MÍDE,127095,1,21,LIMERICK,Luimneach,NEWCASTLE WEST,3898633.54647827,12427.9545208902
16006,4c07d11d-fdd7-851d-e053-ca3ca8c0ca7f,4c07d11d-fdd7-851d-e053-ca3ca8c0ca7f,127070002,127070002,127070002,A127070002,0,0,,IE0,Ireland,IE05,Southern,IE051,Mid-West,2ae19629-179c-13a3-e055-000000000001,Y,FEENAGH,FÍONACH,127070,1,21,LIMERICK,Luimneach,NEWCASTLE WEST,4169500.10644531,12694.9720837864
16007,4c07d11d-fdda-851d-e053-ca3ca8c0ca7f,4c07d11d-fdda-851d-e053-ca3ca8c0ca7f,127109002,127109002,127109002,A127109002,0,0,,IE0,Ireland,IE05,Southern,IE051,Mid-West,2ae19629-17c4-13a3-e055-000000000001,Y,MAHOONAGH,MAIGH THAMHNACH,127109,1,21,LIMERICK,Luimneach,NEWCASTLE WEST,5629675.77224731,15119.0397749514
16008,4c07d11d-fddb-851d-e053-ca3ca8c0ca7f,4c07d11d-fddb-851d-e053-ca3ca8c0ca7f,127101002,127101002,127101002,A127101002,0,0,,IE0,Ireland,IE05,Southern,IE051,Mid-West,2ae19629-17bc-13a3-e055-000000000001,Y,KNOCKADERRY,CNOC AN DOIRE,127101,1,21,LIMERICK,Luimneach,NEWCASTLE WEST,9285388.11480713,18866.3109080812
